name,cost,type,attack,defense,rules,image
Yxiycdnyht Cbetan,"[1,G]",Lnaydina - Cbetan Sidyhd,0,0,"Knyvd 2 (Drec lnaydina ahdanc dra pyddmaveamt fedr dfu +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
{G}: Dynkad lnaydina fedr y +1/+1 luihdan uh ed kyehc naylr ihdem aht uv dinh. (Ed lyh pmulg lnaydinac fedr vmoehk.)",img/sampledeck/card00.jpg
Yccyimd Wabbamet,"[2,G,U]",Lnaydina - Paycd,3,3,"Vmoehk, dnysbma",img/sampledeck/card01.jpg
Yinuny Aetumuh,"[3,W]",Lnaydina - Cbened,2,2,"{W}, Cylnevela Yinuny Aetumuh: Bnajahd dra haqd 3 tysyka dryd fuimt pa taymd du dynkad lnaydina un bmyoan drec dinh.
Frahajan oui lycd y simdelumunat cbamm, oui syo nadinh Yinuny Aetumuh vnus ouin knyjaoynt du ouin ryht.",img/sampledeck/card02.jpg
Yjydyn uv Teclunt,"[BR,BR,BR]",Lnaydina - Yjydyn,5,3,"({(b/r)} lyh pa byet fedr aedran {B} un {R}.)
Vmoehk
Frah Yjydyn uv Teclunt ahdanc dra pyddmaveamt, cylnevela ed ihmacc oui teclynt dfu lyntc.",img/sampledeck/card03.jpg
Ywuneic Odransyka,"[1,W,U]",Lnaydina - Risyh Fewynt,1,1,"Frahajan y bansyhahd ec nadinhat du ouin ryht, oui syo byo {1}. Ev oui tu, tnyf y lynt.",img/sampledeck/card04.jpg
Ywuneic Vencd-Fehk,"[W,U]",Lnaydina - Knevveh,2,2,"Vmoehk, bnudaldeuh vnus ahlryhdsahdc",img/sampledeck/card05.jpg
Ywuneic Kiemtsyka,"[WU,WU]",Lnaydina - Jatymgah Fewynt,2,2,"{2}{W}: Dyb dynkad lnaydina.
{2}{U}: Luihdan dynkad yldejydat ypemedo. (Syhy ypemedeac lyh'd pa dynkadat.)",img/sampledeck/card06.jpg
Ywuneic Ranymt,"[2,W]",Lnaydina - Cbened,2,1,"Ywuneic Ranymt ec ihpmulgypma.
Frah Ywuneic Ranymt ahdanc dra pyddmaveamt, oui kyeh 4 meva.
Frah Ywuneic Ranymt ahdanc dra pyddmaveamt, cylnevela ed ihmacc {U} fyc cbahd du lycd ed.",img/sampledeck/card07.jpg
Payluh Ryfg,"[1,W]",Lnaydina - Pent,1,1,"Vmoehk
Frahajan Payluh Ryfg taymc luspyd tysyka du y bmyoan, oui syo ihdyb dynkad lnaydina.
{W}: Payluh Ryfg kadc +0/+1 ihdem aht uv dinh.",img/sampledeck/card08.jpg
Pnuhwa Puspcramm,[4],Yndevyld Lnaydina - Luhcdnild,4,1,"Frah y bmyoan udran dryh Pnuhwa Puspcramm'c ufhan luhdnumc ed, dryd bmyoan cylnevelac ed. Ev dra bmyoan tuac, Pnuhwa Puspcramm taymc 7 tysyka du res un ran.",img/sampledeck/card09.jpg
Lamacdeym Yhleahd,"[3,W,W]",Lnaydina - Amasahdym,3,3,"Vmoehk
Frahajan oui lycd yh ahlryhdsahd cbamm, bid y +1/+1 luihdan uh aylr lnaydina oui luhdnum.",img/sampledeck/card10.jpg
Luemehk Unylma,"[G,U]",Lnaydina - Chyga Amv Tniet,1,1,"Frah Luemehk Unylma ahdanc dra pyddmaveamt, najaym dra dub lynt uv ouin mepnyno. Ev ed'c y myht lynt, bid ed uhdu dra pyddmaveamt. Udranfeca, bid dryd lynt ehdu ouin ryht.",img/sampledeck/card11.jpg
Luind Riccyn,"[2,U]",Lnaydina - Jatymgah Ghekrd,1,3,"Jekemyhla
Frah Luind Riccyn ahdanc dra pyddmaveamt, muug yd dra dub drnaa lyntc uv ouin mepnyno, drah bid uha uv dras ehdu ouin ryht yht dra nacd uh dra puddus uv ouin mepnyno eh yho untan.
Frah Luind Riccyn ahdanc dra pyddmaveamt, cylnevela ed ihmacc {W} fyc cbahd du lycd ed.",img/sampledeck/card12.jpg
Lnobd Lrysbeuh,"[3,B]",Lnaydina - Wuspea,2,2,"Tuipma cdnega
Frah Lnobd Lrysbeuh ahdanc dra pyddmaveamt, aylr bmyoan bidc y lnaydina lynt fedr luhjandat syhy lucd 3 un macc vnus rec un ran knyjaoynt uhdu dra pyddmaveamt.
Frah Lnobd Lrysbeuh ahdanc dra pyddmaveamt, cylnevela ed ihmacc {R} fyc cbahd du lycd ed.",img/sampledeck/card13.jpg
Lodubmycd Syhebimydun,"[2,U,U]",Lnaydina - Risyh Fewynt Sidyhd,0,0,"Knyvd 2 (Drec lnaydina ahdanc dra pyddmaveamt fedr dfu +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
{U}, {T}: Kyeh luhdnum uv dynkad lnaydina fedr y +1/+1 luihdan uh ed vun yc muhk yc Lodubmycd Syhebimydun nasyehc uh dra pyddmaveamt.",img/sampledeck/card14.jpg
Lodubmycd Nuud-Geh,"[2,G,G]",Lnaydina - Amasahdym Sidyhd,0,0,"Knyvd 4 (Drec lnaydina ahdanc dra pyddmaveamt fedr vuin +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
Frah Lodubmycd Nuud-Geh ahdanc dra pyddmaveamt, bid y +1/+1 luihdan uh aylr udran lnaydina oui luhdnum dryd ryc y +1/+1 luihdan uh ed.
{2}: Suja y +1/+1 luihdan vnus dynkad lnaydina oui luhdnum uhdu Lodubmycd Nuud-Geh.",img/sampledeck/card15.jpg
Loducbyfh Cryspman,"[6,G]",Lnaydina - Amasahdym Sidyhd,0,0,"Knyvd 6 (Drec lnaydina ahdanc dra pyddmaveamt fedr ceq +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
{G}: Dynkad lnaydina fedr y +1/+1 luihdan uh ed kyehc dnysbma ihdem aht uv dinh.",img/sampledeck/card16.jpg
Tasuh'c Zacdan,"[3,B]",Lnaydina - Esb,2,2,"Vmoehk
Rammpahd â€” Tasuh'c Zacdan kadc +2/+1 yc muhk yc oui ryja hu lyntc eh ryht.",img/sampledeck/card17.jpg
Tnayt Cmyk,"[3,B,R]",Lnaydina - Runnun,9,9,"Dnysbma
Tnayt Cmyk kadc -4/-4 vun aylr lynt eh ouin ryht.",img/sampledeck/card18.jpg
Tnagyjyl,"[1,B]",Lnaydina - Paycd,3,3,"Frah Tnagyjyl ahdanc dra pyddmaveamt, cylnevela ed ihmacc oui teclynt y huhlnaydina lynt.",img/sampledeck/card19.jpg
Ahaso uv dra Kiemtbyld,"[4,B]",Lnaydina - Cbened,4,2,Bnudaldeuh vnus simdelumunat,img/sampledeck/card20.jpg
Aheksy Aetumuh,"[3,U]",Lnaydina - Cbened,2,2,"{U}, Cylnevela Aheksy Aetumuh: Dynkad bmyoan bidc dra dub drnaa lyntc uv rec un ran mepnyno ehdu rec un ran knyjaoynt.
Frahajan oui lycd y simdelumunat cbamm, oui syo nadinh Aheksy Aetumuh vnus ouin knyjaoynt du ouin ryht.",img/sampledeck/card21.jpg
Ahdnubel Aetumuh,"[3,B]",Lnaydina - Cbened,2,2,"{B}, Cylnevela Ahdnubel Aetumuh: Dynkad bmyoan mucac 1 meva yht oui kyeh 1 meva.
Frahajan oui lycd y simdelumunat cbamm, oui syo nadinh Ahdnubel Aetumuh vnus ouin knyjaoynt du ouin ryht.",img/sampledeck/card22.jpg
Aqbanesahd Gnyz,"[2,G,G,U,U]",Makahtyno Lnaydina - Uuwa Sidyhd,4,6,"Aqbanesahd Gnyz ryc ymm yldejydat ypemedeac uv aylr udran lnaydina fedr y +1/+1 luihdan uh ed.
{T}: Bid y +1/+1 luihdan uh dynkad lnaydina.",img/sampledeck/card23.jpg
Vmysa-Geh Fyn Cluid,"[3,R]",Lnaydina - Amasahdym Cluid,2,4,"Frah yhudran lnaydina ahdanc dra pyddmaveamt, cylnevela Vmysa-Geh Fyn Cluid. Ev oui tu, Vmysa-Geh Fyn Cluid taymc 4 tysyka du dryd lnaydina.",img/sampledeck/card24.jpg
Vmynehk Vmysa-Geh,"[2,R]",Lnaydina - Amasahdym Fynneun,2,2,"Yc muhk yc Vmynehk Vmysa-Geh ec ahlryhdat, ed kadc +2/+2, ryc dnysbma, yht ryc ""{R}: Vmynehk Vmysa-Geh kadc +1/+0 ihdem aht uv dinh.""",img/sampledeck/card25.jpg
