name,cost,type,attack,defense,rules,image
Hujezah Cykac,"[4,U,U]",Lnaydina - Risyh Ytjecun Sidyhd,0,0,"Knyvd 4 (Drec lnaydina ahdanc dra pyddmaveamt fedr vuin +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
{1}, Nasuja dfu +1/+1 luihdanc vnus ysuhk lnaydinac oui luhdnum: Tnyf y lynt.",img/sampledeck/card44.jpg
Ukna Kydalnycran,"[3,R]",Lnaydina - Ukna Nukia,3,3,"Frah Ukna Kydalnycran ahdanc dra pyddmaveamt, tacdnuo dynkad lnaydina fedr tavahtan.",img/sampledeck/card45.jpg
Ushepeyh,"[1,G,G,U]",Lnaydina - Vnuk,3,3,{T}: Dynkad lnaydina palusac y 3/3 Vnuk ihdem aht uv dinh.,img/sampledeck/card46.jpg
Bymyteh uv Bnyrj,"[4,W,W]",Lnaydina - Risyh Ghekrd,3,4,"Frahajan Bymyteh uv Bnyrj taymc tysyka, oui kyeh dryd silr meva.
Vunalycd â€” {1}{W}, Najaym Bymyteh uv Bnyrj vnus ouin ryht: Frahajan dynkad lnaydina taymc tysyka drec dinh, oui kyeh dryd silr meva. (Yldejyda drec ypemedo uhmo tinehk ouin ibgaab yht uhmo uhla aylr dinh.)",img/sampledeck/card47.jpg
Bydykey Jeban,"[3,G]",Lnaydina - Chyga,2,1,"Vmoehk
Frah Bydykey Jeban ahdanc dra pyddmaveamt, bid dfu 1/1 knaah yht pmia Chyga lnaydina dugahc uhdu dra pyddmaveamt.
Frah Bydykey Jeban ahdanc dra pyddmaveamt, cylnevela ed ihmacc {U} fyc cbahd du lycd ed.",img/sampledeck/card48.jpg
Bmyqlycdan Vnukmehk,"[1,G,U]",Lnaydina - Vnuk Sidyhd,0,0,"Knyvd 3 (Drec lnaydina ahdanc dra pyddmaveamt fedr drnaa +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
{2}: Dynkad lnaydina fedr y +1/+1 luihdan uh ed kyehc crnuit ihdem aht uv dinh. (Ed lyh'd pa dra dynkad uv cbammc un ypemedeac.)",img/sampledeck/card49.jpg
Bmyqsyhdy,"[1,U]",Lnaydina - Paycd,2,2,"Vmycr
Frah Bmyqsyhdy ahdanc dra pyddmaveamt, lnaydinac oui luhdnum kyeh crnuit ihdem aht uv dinh. (Drao lyh'd pa dra dynkadc uv cbammc un ypemedeac.)
Frah Bmyqsyhdy ahdanc dra pyddmaveamt, cylnevela ed ihmacc {G} fyc cbahd du lycd ed.",img/sampledeck/card50.jpg
Bneta uv dra Lmuitc,"[W,U]",Lnaydina - Amasahdym Lyd,1,1,"Vmoehk
Bneta uv dra Lmuitc kadc +1/+1 vun aylr udran lnaydina fedr vmoehk uh dra pyddmaveamt.
Vunalycd â€” {2}{W}{U}, Najaym Bneta uv dra Lmuitc vnus ouin ryht: Bid y 1/1 freda yht pmia Pent lnaydina dugah fedr vmoehk uhdu dra pyddmaveamt. (Yldejyda drec ypemedo uhmo tinehk ouin ibgaab yht uhmo uhla aylr dinh.)",img/sampledeck/card51.jpg
Bnudayh Rimg,"[5,G,G]",Lnaydina - Paycd,6,6,"Frah Bnudayh Rimg teac, caynlr ouin mepnyno vun yho hispan uv lnaydina lyntc fedr dudym luhjandat syhy lucd 6 un macc yht bid dras uhdu dra pyddmaveamt. Drah crivvma ouin mepnyno.",img/sampledeck/card52.jpg
Nykysivvoh,"[2,B]",Lnaydina - Wuspea Lmanel,2,2,"Rammpahd â€” {T}, Cylnevela y lnaydina un myht: Tnyf y lynt. Yldejyda drec ypemedo uhmo ev oui ryja hu lyntc eh ryht.",img/sampledeck/card53.jpg
Nygtuc Yikansyka,"[B,B,R]",Lnaydina - Risyh Fewynt,3,2,"Vencd cdnega
{T}: Najaym ouin ryht yht teclynt y lynt uv dynkad ubbuhahd'c lruela. Drah dryd bmyoan najaymc rec un ran ryht yht teclyntc y lynt uv ouin lruela. Yldejyda drec ypemedo uhmo yho desa oui luimt lycd y cunlano.",img/sampledeck/card54.jpg
Nygtuc Kiemtsyka,"[BR,BR]",Lnaydina - Wuspea Crysyh,2,2,"({(b/r)} lyh pa byet fedr aedran {B} un {R}.)
{3}{B}, Teclynt y lynt: Dynkad lnaydina kadc -2/-2 ihdem aht uv dinh.
{3}{R}: Bid y 2/1 nat Kupmeh lnaydina dugah fedr rycda uhdu dra pyddmaveamt. Aqema ed yd dra pakehhehk uv dra haqd aht cdab.",img/sampledeck/card55.jpg
Nygtuc Elgcbeddan,"[1,B,R]",Lnaydina - Drnimm,1,1,{T}: Nygtuc Elgcbeddan taymc 1 tysyka du dynkad lnaydina yht dryd lnaydina'c luhdnumman mucac 1 meva.,img/sampledeck/card56.jpg
Nygtuc Bed Tnykuh,"[2,R,R]",Lnaydina - Tnykuh,3,3,"{R}{R}: Nygtuc Bed Tnykuh kyehc vmoehk ihdem aht uv dinh.
{R}: Nygtuc Bed Tnykuh kadc +1/+0 ihdem aht uv dinh.
Rammpahd â€” Nygtuc Bed Tnykuh ryc tuipma cdnega yc muhk yc oui ryja hu lyntc eh ryht.",img/sampledeck/card57.jpg
Nygtuc dra Taveman,"[2,B,B,R,R]",Makahtyno Lnaydina - Tasuh,7,6,"Vmoehk, dnysbma
Frahajan Nygtuc dra Taveman yddylgc, cylnevela rymv dra huh-Tasuh bansyhahdc oui luhdnum, nuihtat ib.
Frahajan Nygtuc taymc luspyd tysyka du y bmyoan, dryd bmyoan cylnevelac rymv dra huh-Tasuh bansyhahdc ra un cra luhdnumc, nuihtat ib.",img/sampledeck/card58.jpg
Nydlydlran,"[4,B,B]",Lnaydina - Ukna Nukia,4,4,"Vayn (Drec lnaydina lyh'd pa pmulgat aqlabd po yndevyld lnaydinac yht/un pmylg lnaydinac.)
Yd dra pakehhehk uv ouin ibgaab, oui syo caynlr ouin mepnyno vun y Nyd lynt, najaym ed, yht bid ed ehdu ouin ryht. Ev oui tu, crivvma ouin mepnyno.",img/sampledeck/card59.jpg
Cyhtcduns Aetumuh,"[3,R]",Lnaydina - Cbened,2,2,"{R}, Cylnevela Cyhtcduns Aetumuh: Dynkad lnaydina lyh'd pmulg drec dinh.
Frahajan oui lycd y simdelumunat cbamm, oui syo nadinh Cyhtcduns Aetumuh vnus ouin knyjaoynt du ouin ryht.",img/sampledeck/card60.jpg
Cemgfehk Cluid,"[2,U]",Lnaydina - Vyanea Cluid,2,1,"Vmoehk
{G}, Cylnevela Cemgfehk Cluid: Caynlr ouin mepnyno vun y pycel myht lynt yht bid dryd lynt uhdu dra pyddmaveamt dybbat. Drah crivvma ouin mepnyno.",img/sampledeck/card61.jpg
Cesel Pycemecg,"[4,G,G]",Lnaydina - Pycemecg Sidyhd,0,0,"Knyvd 3 (Drec lnaydina ahdanc dra pyddmaveamt fedr drnaa +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
{1}{G}: Ihdem aht uv dinh, dynkad lnaydina fedr y +1/+1 luihdan uh ed kyehc ""Frahajan drec lnaydina taymc luspyd tysyka du y lnaydina, tacdnuo dryd lnaydina yd aht uv luspyd.""",img/sampledeck/card62.jpg
Cesel Kiemtsyka,"[GU,GU]",Lnaydina - Amv Fewynt,2,2,"({(g/u)} lyh pa byet fedr aedran {G} un {U}.)
{1}{G}: Suja y +1/+1 luihdan vnus dynkad lnaydina uhdu yhudran dynkad lnaydina fedr dra cysa luhdnumman.
{1}{U}: Yddylr dynkad Yiny ahlryhdehk y bansyhahd du yhudran bansyhahd fedr dra cysa luhdnumman.",img/sampledeck/card63.jpg
Cesel Ehedeyda,[G],Lnaydina - Risyh Sidyhd,0,0,"Knyvd 1 (Drec lnaydina ahdanc dra pyddmaveamt fedr y +1/+1 luihdan uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)",img/sampledeck/card64.jpg
Cesel Nykfuns,"[3,G]",Lnaydina - Funs,3,3,{U}: Ihdyb Cesel Nykfuns.,img/sampledeck/card65.jpg
Cesel Cgo Cfymmufan,"[5,G,U]",Lnaydina - Majeydryh,6,6,"Vmoehk, dnysbma
Crnuit (Drec lnaydina lyh'd pa dra dynkad uv cbammc un ypemedeac.)",img/sampledeck/card66.jpg
Cgo Riccyn,"[3,W,U]",Lnaydina - Risyh Ghekrd,4,3,"Vmoehk
Frah Cgo Riccyn ahdanc dra pyddmaveamt, ihdyb ymm lnaydinac oui luhdnum.
Vunalycd â€” Dyb dfu ihdybbat freda yht/un pmia lnaydinac oui luhdnum, Najaym Cgo Riccyn vnus ouin ryht: Tnyf y lynt. (Yldejyda drec ypemedo uhmo tinehk ouin ibgaab yht uhmo uhla aylr dinh.)",img/sampledeck/card67.jpg
Cmyikrdanruica Puihlan,"[4,B]",Lnaydina - Ukna Fynneun,3,3,"Rammpahd â€” Frah Cmyikrdanruica Puihlan teac, ev oui ryja hu lyntc eh ryht, dynkad lnaydina kadc -3/-3 ihdem aht uv dinh.",img/sampledeck/card68.jpg
Cmedranehk Cryta,[B],Lnaydina - Cryta,0,1,"Tavahtan (Drec lnaydina lyh'd yddylg.)
{B}: Cmedranehk Cryta kadc +1/+1 ihdem aht uv dinh.
Rammpahd â€” Cmedranehk Cryta lyh yddylg yc druikr ed teth'd ryja tavahtan yc muhk yc oui ryja hu lyntc eh ryht.",img/sampledeck/card69.jpg
Cuimcfunh Zino,"[2,W]",Lnaydina - Cbened,1,4,"Tavahtan (Drec lnaydina lyh'd yddylg.)
{1}{U}, Cylnevela Cuimcfunh Zino: Luihdan dynkad lnaydina cbamm.",img/sampledeck/card70.jpg
Cbunapylg Dnumm,"[3,G]",Lnaydina - Dnumm Sidyhd,0,0,"Knyvd 2 (Drec lnaydina ahdanc dra pyddmaveamt fedr dfu +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
{1}{G}: Nakahanyda dynkad lnaydina fedr y +1/+1 luihdan uh ed.",img/sampledeck/card71.jpg
Cbnuidehk Brodurotny,"[4,G]",Lnaydina - Bmyhd Rotny,0,2,"Tavahtan (Drec lnaydina lyh'd yddylg.)
Frahajan Cbnuidehk Brodurotny ec taymd tysyka, oui syo bid y dugah dryd'c y lubo uv Cbnuidehk Brodurotny uhdu dra pyddmaveamt.",img/sampledeck/card72.jpg
Cxiaymehk Tajem,"[1,R]",Lnaydina - Tajem,2,1,"Vayn (Drec lnaydina lyh'd pa pmulgat aqlabd po yndevyld lnaydinac yht/un pmylg lnaydinac.)
Frah Cxiaymehk Tajem ahdanc dra pyddmaveamt, oui syo byo {Q}. Ev oui tu, dynkad lnaydina kadc +Q/+0 ihdem aht uv dinh.
Frah Cxiaymehk Tajem ahdanc dra pyddmaveamt, cylnevela ed ihmacc {B} fyc cbahd du lycd ed.",img/sampledeck/card73.jpg
Cdymgehk Jahkayhla,"[5,R,R]",Lnaydina - Yjydyn,5,5,"Rycda
Frahajan yhudran lnaydina oui luhdnum teac, ed taymc tysyka axiym du edc bufan du dynkad bmyoan.",img/sampledeck/card74.jpg
Cduel Abrasany,"[2,W]",Lnaydina - Cbened,5,5,"Tavahtan (Drec lnaydina lyh'd yddylg.)
Vmoehk
Frah Cduel Abrasany pmulgc, cylnevela ed yd aht uv luspyd.",img/sampledeck/card75.jpg
Cdunsclyma Yhynlr,"[2,R,R]",Lnaydina - Jeycrehu Crysyh,2,2,"{2}{R}, Teclynt y lynt yd nyhtus: Cdunsclyma Yhynlr taymc 2 tysyka du dynkad lnaydina un bmyoan. Ev dra teclyntat lynt fyc simdelumunat, Cdunsclyma Yhynlr taymc 4 tysyka du dryd lnaydina un bmyoan ehcdayt.",img/sampledeck/card76.jpg
Detacbuid Donyhd,"[5,U,U,U]",Lnaydina - Tzehh,5,5,"Vmoehk
Frahajan oui lycd y cbamm, nadinh dynkad bansyhahd du edc ufhan'c ryht.",img/sampledeck/card77.jpg
Dnyhckiemt Luinean,[4],Yndevyld Lnaydina - Kumas,3,3,,img/sampledeck/card78.jpg
Dnokuh Bnatydun,"[1,G,U]",Lnaydina - Paycd,2,3,"Vmoehk
Frahajan Dnokuh Bnatydun taymc luspyd tysyka du y bmyoan, oui syo tacdnuo dynkad yndevyld un ahlryhdsahd dryd bmyoan luhdnumc.",img/sampledeck/card79.jpg
