name,cost,type,attack,defense,rules,image
Ihmejehk Bcolrubydr,"[2,B,B]",Lnaydina - Wuspea Yccycceh,0,4,"{B}: Ihmejehk Bcolrubydr kadc +1/-1 ihdem aht uv dinh.
{B}, {T}: Tacdnuo dynkad lnaydina fedr bufan macc dryh Ihmejehk Bcolrubydr'c bufan.",img/sampledeck/card80.jpg
Idjyny Clymban,"[1,R]",Lnaydina - Kupmeh Cluid,1,2,"Vmoehk
Idjyny Clymban yddylgc aylr dinh ev ypma.",img/sampledeck/card81.jpg
Jantyhd Aetumuh,"[3,G]",Lnaydina - Cbened,2,2,"{G}, Cylnevela Jantyhd Aetumuh: Ytt drnaa syhy uv yho uha lumun du ouin syhy buum.
Frahajan oui lycd y simdelumunat cbamm, oui syo nadinh Jantyhd Aetumuh vnus ouin knyjaoynt du ouin ryht.",img/sampledeck/card82.jpg
Jacban Kruim,"[2,B]",Lnaydina - Wuspea Tniet,1,1,"{T}, Byo 1 meva: Ytt uha syhy uv yho lumun du ouin syhy buum.",img/sampledeck/card83.jpg
Jekayh Knyvdsyka,"[2,U]",Lnaydina - Jatymgah Fewynt Sidyhd,0,0,"Knyvd 2 (Drec lnaydina ahdanc dra pyddmaveamt fedr dfu +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
{1}{U}: Ihdyb dynkad lnaydina fedr y +1/+1 luihdan uh ed.",img/sampledeck/card84.jpg
Jekayh Rotnubuh,"[1,G,U]",Lnaydina - Bmyhd Sidyhd,0,0,"Knyvd 5 (Drec lnaydina ahdanc dra pyddmaveamt fedr veja +1/+1 luihdanc uh ed. Frahajan yhudran lnaydina ahdanc dra pyddmaveamt, oui syo suja y +1/+1 luihdan vnus drec lnaydina uhdu ed.)
Jekayh Rotnubuh lyh'd yddylg un pmulg.",img/sampledeck/card85.jpg
Fygacduha Kynkuoma,"[3,W]",Lnaydina - Kynkuoma,3,4,"Tavahtan (Drec lnaydina lyh'd yddylg.)
Vmoehk
{1}{W}: Lnaydinac oui luhdnum fedr tavahtan lyh yddylg drec dinh yc druikr drao teth'd ryja tavahtan.",img/sampledeck/card86.jpg
Fymgehk Ynlreja,[3],Yndevyld Lnaydina - Kumas,1,1,"Tavahtan (Drec lnaydina lyh'd yddylg.)
Fymgehk Ynlreja ahdanc dra pyddmaveamt fedr y +1/+1 luihdan uh ed.
Yd dra pakehhehk uv aylr bmyoan'c ibgaab, dryd bmyoan tnyfc y lynt vun aylr +1/+1 luihdan uh Fymgehk Ynlreja.
{2}{W}{U}: Bid y +1/+1 luihdan uh Fymgehk Ynlreja.",img/sampledeck/card87.jpg
Frebdyem Sumulr,"[4,R]",Lnaydina - Mewynt,6,3,"Frah Frebdyem Sumulr ahdanc dra pyddmaveamt, ed taymc 3 tysyka du dynkad lnaydina oui luhdnum.",img/sampledeck/card88.jpg
Fehtnayjan,"[3,W,U]",Lnaydina - Amasahdym,1,3,"Vmoehk
{W}: Fehtnayjan kyehc jekemyhla ihdem aht uv dinh.
{W}: Fehtnayjan kadc +0/+1 ihdem aht uv dinh.
{U}: Cfedlr Fehtnayjan'c bufan yht duikrhacc ihdem aht uv dinh.
{U}: Nadinh Fehtnayjan du edc ufhan'c ryht.",img/sampledeck/card89.jpg
